Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 17 [15360/49000 (31%)]	Train Loss: 1.154913	Val Loss: 1.194810	Val Acc: 58
Train Epoch: 17 [20480/49000 (42%)]	Train Loss: 1.176393	Val Loss: 1.195926	Val Acc: 58
Train Epoch: 17 [25600/49000 (52%)]	Train Loss: 1.117935	Val Loss: 1.192308	Val Acc: 58
Train Epoch: 17 [30720/49000 (62%)]	Train Loss: 1.210688	Val Loss: 1.200109	Val Acc: 58
Train Epoch: 17 [35840/49000 (73%)]	Train Loss: 1.099631	Val Loss: 1.214276	Val Acc: 57
Train Epoch: 17 [40960/49000 (83%)]	Train Loss: 1.151545	Val Loss: 1.203599	Val Acc: 57
Train Epoch: 17 [46080/49000 (94%)]	Train Loss: 1.181408	Val Loss: 1.186017	Val Acc: 57
Train Epoch: 18 [0/49000 (0%)]	Train Loss: 1.203629	Val Loss: 1.182652	Val Acc: 58
Train Epoch: 18 [5120/49000 (10%)]	Train Loss: 1.143029	Val Loss: 1.198644	Val Acc: 56
Train Epoch: 18 [10240/49000 (21%)]	Train Loss: 1.201388	Val Loss: 1.205000	Val Acc: 58
Train Epoch: 18 [15360/49000 (31%)]	Train Loss: 1.206112	Val Loss: 1.197644	Val Acc: 57
Train Epoch: 18 [20480/49000 (42%)]	Train Loss: 1.219289	Val Loss: 1.192965	Val Acc: 58
Train Epoch: 18 [25600/49000 (52%)]	Train Loss: 1.084566	Val Loss: 1.194405	Val Acc: 58
Train Epoch: 18 [30720/49000 (62%)]	Train Loss: 1.088186	Val Loss: 1.183284	Val Acc: 57
Train Epoch: 18 [35840/49000 (73%)]	Train Loss: 1.181632	Val Loss: 1.179891	Val Acc: 58
Train Epoch: 18 [40960/49000 (83%)]	Train Loss: 1.182589	Val Loss: 1.173010	Val Acc: 58
Train Epoch: 18 [46080/49000 (94%)]	Train Loss: 1.055033	Val Loss: 1.183179	Val Acc: 58
Train Epoch: 19 [0/49000 (0%)]	Train Loss: 1.139744	Val Loss: 1.191023	Val Acc: 58
Train Epoch: 19 [5120/49000 (10%)]	Train Loss: 1.133497	Val Loss: 1.200411	Val Acc: 56
Train Epoch: 19 [10240/49000 (21%)]	Train Loss: 1.120609	Val Loss: 1.189842	Val Acc: 58
Train Epoch: 19 [15360/49000 (31%)]	Train Loss: 1.141476	Val Loss: 1.175148	Val Acc: 58
Train Epoch: 19 [20480/49000 (42%)]	Train Loss: 1.124498	Val Loss: 1.186080	Val Acc: 57
Train Epoch: 19 [25600/49000 (52%)]	Train Loss: 1.094472	Val Loss: 1.177708	Val Acc: 58
